cell,avg_entry,current_exit,optimal_exit,N,daily_entry_rate,current_scalp_rate_pct,current_ev_per_entry,current_daily_dollar,optimal_scalp_rate_pct,optimal_ev_per_entry,optimal_daily_dollar,direction,inverse_cell,inverse_status,optimal_ci_lower,optimal_ci_upper,confidence_flag
ATP_MAIN_leader_70-74,72.3,17,16,60,1.07,81.7,0.0983,0.1054,83.3,0.1650,0.1768,leader,ATP_MAIN_underdog_25-29,disabled,-0.6470,0.9770,LOW
ATP_MAIN_underdog_25-29,27.4,22,20,20,0.36,65.0,0.5150,0.1839,70.0,0.6150,0.2196,underdog,ATP_MAIN_leader_70-74,ACTIVE,-0.3129,1.5429,LOW
ATP_MAIN_underdog_30-34,31.5,15,8,36,0.64,66.7,-0.0167,-0.0107,86.1,0.2639,0.1696,underdog,ATP_MAIN_leader_65-69,no_config,-0.1726,0.7004,MED
ATP_MAIN_underdog_35-39,37.3,12,46,23,0.41,91.3,0.7783,0.3196,69.6,2.1000,0.8625,underdog,ATP_MAIN_leader_60-64,disabled,0.5550,3.6450,MED
ATP_MAIN_underdog_40-44,42.0,9,4,37,0.66,78.4,-0.1865,-0.1232,91.9,0.0351,0.0232,underdog,ATP_MAIN_leader_55-59,disabled,-0.3609,0.4312,LOW
ATP_MAIN_underdog_45-49,47.2,4,10,40,0.71,90.0,-0.1000,-0.0714,82.5,0.0275,0.0196,underdog,ATP_MAIN_leader_50-54,ACTIVE,-0.6270,0.6820,LOW
WTA_CHALL_leader_55-59,57.1,20,20,14,0.25,50.0,-1.8357,-0.4589,50.0,-1.8357,-0.4589,leader,WTA_CHALL_underdog_40-44,ACTIVE,-3.8454,0.1740,LOW
WTA_CHALL_underdog_40-44,41.9,30,53,16,0.29,56.2,-0.1125,-0.0321,56.2,1.1812,0.3375,underdog,WTA_CHALL_leader_55-59,ACTIVE,-1.1078,3.4703,LOW
WTA_MAIN_leader_50-54,51.5,10,16,43,0.77,88.4,0.3023,0.2321,86.0,0.6791,0.5214,leader,WTA_MAIN_underdog_45-49,ACTIVE,-0.0046,1.3627,MED
WTA_MAIN_leader_60-64,62.1,8,18,20,0.36,95.0,0.4500,0.1607,85.0,0.6250,0.2232,leader,WTA_MAIN_underdog_35-39,disabled,-0.6010,1.8510,LOW
WTA_MAIN_leader_65-69,66.6,23,27,26,0.46,88.5,1.2769,0.5929,88.5,1.6308,0.7571,leader,WTA_MAIN_underdog_30-34,disabled,0.4926,2.7689,MED
WTA_MAIN_leader_70-74,71.5,25,23,17,0.30,76.5,0.2765,0.0839,76.5,0.1235,0.0375,leader,WTA_MAIN_underdog_25-29,ACTIVE,-1.7418,1.9888,LOW
WTA_MAIN_leader_80-84,81.3,17,13,9,0.16,66.7,-1.5000,-0.2411,88.9,0.2778,0.0446,leader,WTA_MAIN_underdog_15-19,disabled,-1.6112,2.1667,LOW
WTA_MAIN_leader_85-89,86.0,14,9,8,0.14,62.5,-2.3625,-0.3375,62.5,-2.6750,-0.3821,leader,WTA_MAIN_underdog_10-14,no_config,-5.8733,0.5233,LOW
WTA_MAIN_underdog_25-29,27.2,21,17,19,0.34,57.9,0.1158,0.0393,68.4,0.3263,0.1107,underdog,WTA_MAIN_leader_70-74,ACTIVE,-0.5831,1.2357,LOW
WTA_MAIN_underdog_30-34,31.7,16,8,18,0.32,50.0,-0.1722,-0.0554,72.2,0.2722,0.0875,underdog,WTA_MAIN_leader_65-69,ACTIVE,-0.7784,1.3229,LOW
WTA_MAIN_underdog_35-39,36.9,11,19,29,0.52,75.9,-0.0345,-0.0179,69.0,0.2000,0.1036,underdog,WTA_MAIN_leader_60-64,disabled,-0.7226,1.1226,LOW
WTA_MAIN_underdog_45-49,47.0,11,15,29,0.52,82.8,0.1207,0.0625,82.8,0.4517,0.2339,underdog,WTA_MAIN_leader_50-54,ACTIVE,-0.3845,1.2880,LOW
