sequence,timestamp_et,tminus_scheduled,tminus_actual_bell,leg,phase,bid,ask,last_trade,rolling_true_print_count_60s,router_return,manager_eligible,signed_non_decision,code_path,overwritten_or_unreached
341,2026-07-19T07:16:52.000000-04:00,T-313.133,T-318.133,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
342,2026-07-19T07:17:07.000000-04:00,T-312.883,T-317.883,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
343,2026-07-19T07:17:07.000000-04:00,T-312.883,T-317.883,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
344,2026-07-19T07:17:09.000000-04:00,T-312.850,T-317.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
345,2026-07-19T07:17:09.000000-04:00,T-312.850,T-317.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
346,2026-07-19T07:17:09.000000-04:00,T-312.850,T-317.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
347,2026-07-19T07:17:13.000000-04:00,T-312.783,T-317.783,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
348,2026-07-19T07:17:13.000000-04:00,T-312.783,T-317.783,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
349,2026-07-19T07:17:13.000000-04:00,T-312.783,T-317.783,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
350,2026-07-19T07:17:18.000000-04:00,T-312.700,T-317.700,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
351,2026-07-19T07:17:18.000000-04:00,T-312.700,T-317.700,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
353,2026-07-19T07:18:21.000000-04:00,T-311.650,T-316.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
355,2026-07-19T07:18:55.000000-04:00,T-311.083,T-316.083,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
357,2026-07-19T07:19:25.000000-04:00,T-310.583,T-315.583,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
359,2026-07-19T07:19:58.000000-04:00,T-310.033,T-315.033,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
360,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
361,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
362,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
363,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
364,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
365,2026-07-19T07:19:59.000000-04:00,T-310.017,T-315.017,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
366,2026-07-19T07:20:19.000000-04:00,T-309.683,T-314.683,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
367,2026-07-19T07:20:20.000000-04:00,T-309.667,T-314.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
368,2026-07-19T07:20:20.000000-04:00,T-309.667,T-314.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
369,2026-07-19T07:20:20.000000-04:00,T-309.667,T-314.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
370,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,72,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
371,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,72,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
372,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,71,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
373,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,71,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
374,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
375,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
376,2026-07-19T07:20:22.000000-04:00,T-309.633,T-314.633,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
378,2026-07-19T07:20:34.000000-04:00,T-309.433,T-314.433,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
379,2026-07-19T07:20:35.000000-04:00,T-309.417,T-314.417,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
380,2026-07-19T07:20:35.000000-04:00,T-309.417,T-314.417,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
381,2026-07-19T07:20:40.000000-04:00,T-309.333,T-314.333,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
382,2026-07-19T07:20:44.000000-04:00,T-309.267,T-314.267,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
383,2026-07-19T07:20:44.000000-04:00,T-309.267,T-314.267,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
384,2026-07-19T07:20:44.000000-04:00,T-309.267,T-314.267,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,69,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
385,2026-07-19T07:20:44.000000-04:00,T-309.267,T-314.267,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
386,2026-07-19T07:20:44.000000-04:00,T-309.267,T-314.267,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
388,2026-07-19T07:21:06.000000-04:00,T-308.900,T-313.900,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
389,2026-07-19T07:21:09.000000-04:00,T-308.850,T-313.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
390,2026-07-19T07:21:09.000000-04:00,T-308.850,T-313.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
391,2026-07-19T07:21:09.000000-04:00,T-308.850,T-313.850,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
392,2026-07-19T07:21:10.000000-04:00,T-308.833,T-313.833,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,73,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
393,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,72,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
394,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,72,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
395,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,71,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
396,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,71,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
397,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
398,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
399,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
400,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,70,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
401,2026-07-19T07:21:11.000000-04:00,T-308.817,T-313.817,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,69,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
402,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,69,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
403,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,69,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
404,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,69,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
405,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
406,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
407,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
408,2026-07-19T07:21:12.000000-04:00,T-308.800,T-313.800,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
410,2026-07-19T07:21:20.000000-04:00,T-308.667,T-313.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
411,2026-07-19T07:21:20.000000-04:00,T-308.667,T-313.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
412,2026-07-19T07:21:20.000000-04:00,T-308.667,T-313.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
413,2026-07-19T07:21:20.000000-04:00,T-308.667,T-313.667,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
414,2026-07-19T07:21:21.000000-04:00,T-308.650,T-313.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
415,2026-07-19T07:21:24.000000-04:00,T-308.600,T-313.600,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
416,2026-07-19T07:21:28.000000-04:00,T-308.533,T-313.533,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
417,2026-07-19T07:21:51.000000-04:00,T-308.150,T-313.150,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
419,2026-07-19T07:21:52.000000-04:00,T-308.133,T-313.133,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
