ticker	event	class_volburst	class_gunts	fill	qty	notional	pnl	fv_capture	gun_ts	latch_volburst_ts	last_bid_action_ts	last_bid_action	ref_src	play	outc
KXWTAMATCH-26JUL03BENKAL-BEN	KXWTAMATCH-26JUL03BENKAL	STATIC	STATIC	64	5	3.2	0.85	23	1783076520	1783082312.724177	1783080088.591869	place@64	staircase_hold	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03SLAMUN-SLA	KXITFWMATCH-26JUL03SLAMUN	STATIC	CHASED	83	5	4.15	-4.15	-39	1783078740	None	1783080054.5446713	repost->83	join_bid	v4_resting_maker	settle_LOSS
KXITFMATCH-26JUL03CACOVE-OVE	KXITFMATCH-26JUL03CACOVE	STATIC	CHASED	80	5	4.0	0.9	11	1783078140	None	1783080054.7929482	repost->80	None	v4_engagement_join	exit_FILL
KXATPMATCH-26JUL03SAFFON-FON	KXATPMATCH-26JUL03SAFFON	STATIC	STATIC	19	5	0.95	-0.95	27	1783076520	None	1783080056.4387932	place@19	staircase_hold	v4_resting_maker	settle_LOSS
KXITFMATCH-26JUL03BALFOR-BAL	KXITFMATCH-26JUL03BALFOR	STATIC	CHASED	7	5	0.35	-0.35	28	1783077000	None	1783080108.0242076	repost->7	join_bid	v4_resting_maker	settle_LOSS
KXITFWMATCH-26JUL03KOMSAR-KOM	KXITFWMATCH-26JUL03KOMSAR	STATIC	CHASED	2	5	0.1	-0.1	11	1783079220	None	1783080107.3445663	repost->2	join_bid	v4_resting_maker	settle_LOSS
KXITFMATCH-26JUL03CACOVE-CAC	KXITFMATCH-26JUL03CACOVE	STATIC	STATIC	18	5	0.9	-0.9	7	1783078500	None	1783080053.8980925	place@18	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL03SAMHER-SAM	KXITFWMATCH-26JUL03SAMHER	STATIC	STATIC	5	5	0.25	0.15	10	1783080780	None	1783080102.4246018	place@5	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03PURSIN-PUR	KXITFMATCH-26JUL03PURSIN	STATIC	STATIC	21	5	1.05	0.3	7	1783077060	None	1783080103.687344	place@21	join_bid	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03SAMHER-HER	KXITFWMATCH-26JUL03SAMHER	STATIC	CHASED	96	5	4.8	0.1	-6	1783078980	None	1783080206.9021952	repost->96	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03IVAWEI-WEI	KXITFMATCH-26JUL03IVAWEI	STATIC	STATIC	18	5	0.9	-0.9	13	1783078380	None	1783080103.474519	place@18	join_bid	v4_resting_maker	settle_LOSS
KXITFMATCH-26JUL03PANSNI-SNI	KXITFMATCH-26JUL03PANSNI	STATIC	CHASED	6	5	0.3	0.2	74	1783077000	None	1783080294.4362564	repost->6	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03BOUYAZ-YAZ	KXITFMATCH-26JUL03BOUYAZ	STATIC	CHASED	3	5	0.15	-0.15	2	1783077540	None	1783080313.5294645	repost->3	join_bid	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03RINDJO-DJO	KXATPMATCH-26JUL03RINDJO	STATIC	STATIC	88	5	4.4	0.5	1	1783078380	1783083740.7730463	1783078273.255804	place@88	staircase_hold	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03KASOSA-OSA	KXWTAMATCH-26JUL03KASOSA	STATIC	CHASED	84	5	4.2	0.7	-2	1783079460	1783081954.6456661	1783080053.5951371	repost->84	staircase_hold	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03PURSIN-SIN	KXITFMATCH-26JUL03PURSIN	STATIC	CHASED	80	5	4.0	0.9	-18	1783077900	None	1783080169.9625077	repost->80	None	v4_engagement_join	exit_FILL
KXATPMATCH-26JUL03STRMED-MED	KXATPMATCH-26JUL03STRMED	STATIC	STATIC	81	5	4.05	-4.05	2	1783078380	1783084827.0478475	1783072850.0911868	place@82	staircase_hold	v4_reconciled	settle_LOSS
KXWTAMATCH-26JUL03ALEJOV-JOV	KXWTAMATCH-26JUL03ALEJOV	STATIC	STATIC	66	5	3.3	0.9	0	1783077480	1783083131.2853534	1783080059.411448	place@66	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03PIGCAR-CAR	KXITFWMATCH-26JUL03PIGCAR	STATIC	CHASED	6	5	0.3	-0.3	16	1783077420	None	1783080863.3704815	repost->6	None	v4_engagement_join	settle_LOSS
KXITFMATCH-26JUL03KIMSHI-SHI	KXITFMATCH-26JUL03KIMSHI	STATIC	CHASED	45	5	2.25	0.45	-13	1783079280	None	1783080871.8573716	repost->45	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03KIMSHI-KIM	KXITFMATCH-26JUL03KIMSHI	STATIC	STATIC	54	5	2.7	0.75	4	1783080900	None	1783080842.3523536	place@54	join_bid	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03KOMSAR-SAR	KXITFWMATCH-26JUL03KOMSAR	STATIC	STATIC	98	5	4.9	0.0	1	1783080900	None	1783080862.6054773	place@98	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03KABNGU-NGU	KXITFWMATCH-26JUL03KABNGU	STATIC	STATIC	46	5	2.3	-2.3	-28	1783085640	None	1783081058.2890491	repost->46	join_bid	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03RINDJO-RIN	KXATPMATCH-26JUL03RINDJO	STATIC	CHASED	13	5	0.65	0.25	-1	1783078680	1783083740.7730463	1783080867.7683895	repost->13	staircase_hold	v4_resting_maker	exit_FILL
KXATPMATCH-26JUL03JODMOC-JOD	KXATPMATCH-26JUL03JODMOC	STATIC	STATIC	75	5	3.75	-3.75	1	1783080600	1783083688.677961	1783080318.4664345	repost->75	staircase_hold	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03DAVFUC-DAV	KXATPMATCH-26JUL03DAVFUC	STATIC	STATIC	76	1	0.76	1.0	1	1783084680	None	1783072850.9641106	place@76	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03COMRIN-RIN	KXATPCHALLENGERMATCH-26JUL03COMRIN	STATIC	STATIC	27	5	1.35	0.35	8	1783082520	1783089079.0010948	1783076635.1679604	place@27	None	v4_engagement_join	exit_FILL
KXATPCHALLENGERMATCH-26JUL03COMRIN-COM	KXATPCHALLENGERMATCH-26JUL03COMRIN	STATIC	STATIC	72	5	3.6	0.95	3	1783083480	1783089079.0010948	1783076442.4249616	place@72	staircase_hold	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03PEGBOU-BOU	KXWTAMATCH-26JUL03PEGBOU	STATIC	STATIC	12	5	0.6	-0.6	1	1783082100	1783083131.2856603	1783069223.3223946	place@12	staircase_hold	v4_resting_maker	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03MOESHA-SHA	KXATPCHALLENGERMATCH-26JUL03MOESHA	STATIC	STATIC	52	5	2.6	0.7	2	1783080120	1783084098.390926	1783070481.1875205	place@52	staircase_hold	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03SMIDUE-SMI	KXITFWMATCH-26JUL03SMIDUE	STATIC	CHASED	2	5	0.1	-0.1	1	1783081920	None	1783083104.1633677	repost->2	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL03KABNGU-KAB	KXITFWMATCH-26JUL03KABNGU	STATIC	STATIC	81	5	4.05	0.85	0	1783085940	None	1783083371.497489	repost->81	join_bid	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03HARSHI-HAR	KXATPCHALLENGERMATCH-26JUL03HARSHI	STATIC	STATIC	66	5	3.3	0.0	2	1783084020	1783092875.3713813	1783080096.1603074	place@66	staircase_hold	v4_resting_maker	OPEN
KXATPMATCH-26JUL03HURPAU-HUR	KXATPMATCH-26JUL03HURPAU	STATIC	STATIC	37	5	1.85	0.4	2	1783085220	1783086411.4050782	1783080060.6705985	place@37	staircase_hold	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03TALGUT-TAL	KXITFMATCH-26JUL03TALGUT	STATIC	STATIC	19	5	0.95	0.3	-8	1783081500	None	1783083637.593351	place@19	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL03OSTTOR-OST	KXITFMATCH-26JUL03OSTTOR	STATIC	STATIC	29	5	1.45	-1.45	17	1783082460	None	1783083640.8262882	place@29	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL03BROTUB-BRO	KXITFWMATCH-26JUL03BROTUB	STATIC	STATIC	22	5	1.1	-1.1	16	1783080180	None	1783083643.9680762	place@22	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL03GORRIE-GOR	KXITFWMATCH-26JUL03GORRIE	STATIC	CHASED	51	5	2.55	0.55	-14	1783082160	None	1783083672.3810244	repost->51	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03VRAKUL-KUL	KXITFWMATCH-26JUL03VRAKUL	STATIC	STATIC	35	5	1.75	0.35	-21	1783081320	None	1783083635.9947703	place@35	join_bid	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03BRULAM-BRU	KXITFWMATCH-26JUL03BRULAM	STATIC	STATIC	9	5	0.45	-0.45	18	1783081020	None	1783083645.066707	place@9	join_bid	v4_resting_maker	settle_LOSS
KXITFWMATCH-26JUL03GORRIE-RIE	KXITFWMATCH-26JUL03GORRIE	STATIC	STATIC	48	5	2.4	0.5	13	1783082280	None	1783083660.6756368	place@48	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03VRAKUL-VRA	KXITFWMATCH-26JUL03VRAKUL	STATIC	STATIC	66	5	3.3	0.85	21	1783081500	None	1783083761.6971896	place@66	join_bid	v4_reconciled	exit_FILL
KXATPCHALLENGERMATCH-26JUL03HARSHI-SHI	KXATPCHALLENGERMATCH-26JUL03HARSHI	STATIC	STATIC	34	5	1.7	0.4	1	1783084080	1783092875.3713813	1783083471.3873117	repost->34	None	v4_engagement_join	exit_FILL
KXWTAMATCH-26JUL03SABOST-SAB	KXWTAMATCH-26JUL03SABOST	STATIC	STATIC	78	5	3.9	0.95	0	1783084860	None	1783072852.0620196	place@78	staircase_hold	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03VANBUC-VAN	KXITFWMATCH-26JUL03VANBUC	STATIC	CHASED	64	5	3.2	0.75	-26	1783080780	None	1783083928.1957352	repost->64	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03VANBUC-BUC	KXITFWMATCH-26JUL03VANBUC	STATIC	STATIC	35	5	1.75	0.35	10	1783083960	None	1783083762.712156	place@35	join_bid	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03BARKRE-BAR	KXWTAMATCH-26JUL03BARKRE	STATIC	STATIC	38	5	1.9	0.4	1	1783083600	1783094245.9230146	1783072851.5041664	place@38	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03KENWAT-WAT	KXATPCHALLENGERMATCH-26JUL03KENWAT	STATIC	STATIC	62	5	3.1	0.9	6	1783084500	None	1783080056.1878111	place@62	staircase_hold	v4_resting_maker	exit_FILL
KXATPMATCH-26JUL03DAVFUC-FUC	KXATPMATCH-26JUL03DAVFUC	STATIC	STATIC	24	5	1.2	-1.2	0	1783084500	None	1783082467.1549492	place@24	staircase_hold	v4_fallback_maker	settle_LOSS
KXITFMATCH-26JUL03OSTTOR-TOR	KXITFMATCH-26JUL03OSTTOR	STATIC	CHASED	89	5	4.45	0.45	-38	1783082400	None	1783084356.8892438	repost->89	join_bid	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03KENWAT-KEN	KXATPCHALLENGERMATCH-26JUL03KENWAT	STATIC	STATIC	36	5	1.8	-1.8	2	1783084200	None	1783080056.9760883	place@36	staircase_hold	v4_reconciled	settle_LOSS
KXITFMATCH-26JUL03TALGUT-GUT	KXITFMATCH-26JUL03TALGUT	STATIC	STATIC	94	5	4.7	0.2	-13	1783083720	None	1783084567.3344567	place@94	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL03SULPLA-PLA	KXITFMATCH-26JUL03SULPLA	STATIC	STATIC	35	5	1.75	0.4	-6	1783084740	None	1783084485.7395985	repost->35	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL03SULPLA-SUL	KXITFMATCH-26JUL03SULPLA	STATIC	STATIC	74	5	3.7	-3.7	-6	1783087320	None	1783084793.0734937	repost->74	join_bid	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03HURPAU-PAU	KXATPMATCH-26JUL03HURPAU	STATIC	STATIC	62	5	3.1	0.8	1	1783083840	1783086411.4050782	1783080058.8193526	place@62	staircase_hold	v4_reconciled	exit_FILL
KXITFMATCH-26JUL03RODGAR-GAR	KXITFMATCH-26JUL03RODGAR	STATIC	STATIC	21	5	1.05	0.3	-10	1783083420	None	1783086630.1891887	place@21	join_bid	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03SABOST-OST	KXWTAMATCH-26JUL03SABOST	STATIC	STATIC	22	5	1.1	0.3	1	1783089720	None	1783072852.3561983	place@22	staircase_hold	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03RODGAR-ROD	KXITFMATCH-26JUL03RODGAR	STATIC	CHASED	74	5	3.7	0.95	-3	1783083960	None	1783087439.6031716	repost->74	join_bid	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03LEGBAR-LEG	KXATPCHALLENGERMATCH-26JUL03LEGBAR	STATIC	STATIC	40	1	0.4	0.0	2	1783098540	None	1783080099.981795	place@40	staircase_hold	v4_resting_maker	OPEN
KXITFWMATCH-26JUL03ZOZVAN-ZOZ	KXITFWMATCH-26JUL03ZOZVAN	STATIC	STATIC	70	5	3.5	-3.5	-10	1783086120	None	1783089577.633266	place@70	join_bid	v4_resting_maker	settle_LOSS
KXITFWMATCH-26JUL03ZOZVAN-VAN	KXITFWMATCH-26JUL03ZOZVAN	STATIC	STATIC	29	5	1.45	0.3	-14	1783087860	None	1783089585.2130172	place@29	join_bid	v4_completion_reprice	exit_FILL
KXITFWMATCH-26JUL03LOPCLA-CLA	KXITFWMATCH-26JUL03LOPCLA	STATIC	CHASED	38	5	1.9	0.35	-14	1783087080	None	1783089619.290007	repost->34	join_bid	v4_reconciled	exit_FILL
KXITFWMATCH-26JUL03LOPCLA-LOP	KXITFWMATCH-26JUL03LOPCLA	STATIC	CHASED	88	5	4.4	0.5	-12	1783086840	None	1783089935.803221	repost->88	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL03SIEZAA-SIE	KXITFWMATCH-26JUL03SIEZAA	STATIC	STATIC	29	5	1.45	0.3	-4	1783090920	None	1783090834.2368786	repost->29	join_bid	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL03SIEZAA-ZAA	KXITFWMATCH-26JUL03SIEZAA	STATIC	STATIC	70	5	3.5	0.9	9	1783094580	None	1783090855.779721	place@70	join_bid	v4_completion_reprice	exit_FILL
KXITFMATCH-26JUL03VASCUE-VAS	KXITFMATCH-26JUL03VASCUE	STATIC	STATIC	6	5	0.3	0.2	40	1783087560	None	1783090987.42585	place@6	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03BENGIU-GIU	KXITFMATCH-26JUL03BENGIU	STATIC	STATIC	96	5	4.8	0.1	-29	1783089300	None	1783090977.0173275	place@96	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL03BENGIU-BEN	KXITFMATCH-26JUL03BENGIU	STATIC	STATIC	3	5	0.15	0.2	12	1783087740	None	1783090977.567865	place@3	None	v4_engagement_join	exit_FILL
KXATPCHALLENGERMATCH-26JUL03MELPAC-MEL	KXATPCHALLENGERMATCH-26JUL03MELPAC	STATIC	STATIC	51	5	2.55	0.65	-4	1783091460	1783099914.1320179	1783087275.7392023	place@51	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03CASOSO-OSO	KXATPCHALLENGERMATCH-26JUL03CASOSO	STATIC	STATIC	17	5	0.85	0.25	-6	1783091580	None	1783089349.061519	repost->17	None	v4_engagement_join	exit_FILL
KXWTAMATCH-26JUL03LIUGAU-GAU	KXWTAMATCH-26JUL03LIUGAU	STATIC	STATIC	87	5	4.35	0.55	0	1783094160	1783094245.3404999	1783076441.6143963	place@87	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03MELPAC-PAC	KXATPCHALLENGERMATCH-26JUL03MELPAC	STATIC	CHASED	47	5	2.35	0.5	6	1783091580	1783099914.1320179	1783091838.585987	repost->47	staircase_hold	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03ZIEHER-HER	KXITFMATCH-26JUL03ZIEHER	STATIC	CHASED	69	5	3.45	0.95	-56	1783090140	None	1783093336.3165677	repost->69	join_bid	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03CASOSO-CAS	KXATPCHALLENGERMATCH-26JUL03CASOSO	STATIC	CHASED	95	5	4.75	0.15	1	1783092720	None	1783093337.269414	repost->95	None	v4_engagement_join	exit_FILL
KXATPCHALLENGERMATCH-26JUL03COUHEM-COU	KXATPCHALLENGERMATCH-26JUL03COUHEM	STATIC	STATIC	35	5	1.75	0.4	5	1783094100	None	1783089039.3137722	place@35	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03COUHEM-HEM	KXATPCHALLENGERMATCH-26JUL03COUHEM	STATIC	CHASED	65	5	3.25	0.95	3	1783093860	None	1783093995.762668	repost->65	staircase_hold	v4_resting_maker	exit_FILL
KXATPMATCH-26JUL03AUGZHE-AUG	KXATPMATCH-26JUL03AUGZHE	STATIC	STATIC	82	2	1.64	0.0	2	1783090980	None	1783072850.6903687	place@82	staircase_hold	v4_resting_maker	OPEN
