class,leg_ticker,sibling_ticker,category,region,sibling_fill_cents,own_audited_close_cents,cap_99_minus_sibfill,cap_close_minus_1,target,verdict,reason,first_qualifying_epoch,first_qualifying_price,release_minutes
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12KUMTUR-TUR,KXATPCHALLENGERMATCH-26JUL12KUMTUR-KUM,ATP_CHALL,26_50,71,32,28,31,28,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12KUZDE-KUZ,KXATPCHALLENGERMATCH-26JUL12KUZDE-DE,ATP_CHALL,ge76,17,86,82,85,82,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12LANKOB-KOB,KXATPCHALLENGERMATCH-26JUL12LANKOB-LAN,ATP_CHALL,le25,94,7,5,6,5,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12MARARS-MAR,KXATPCHALLENGERMATCH-26JUL12MARARS-ARS,ATP_CHALL,51_75,41,61,58,60,58,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12MEJSOT-MEJ,KXATPCHALLENGERMATCH-26JUL12MEJSOT-SOT,ATP_CHALL,51_75,33,70,66,69,66,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12MIYKUZ-MIY,KXATPCHALLENGERMATCH-26JUL12MIYKUZ-KUZ,ATP_CHALL,51_75,36,66,63,65,63,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12OUAFER-OUA,KXATPCHALLENGERMATCH-26JUL12OUAFER-OUA,ATP_CHALL,ge76,95,96,4,95,4,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12PEAKIR-KIR,KXATPCHALLENGERMATCH-26JUL12PEAKIR-PEA,ATP_CHALL,51_75,28,74,71,73,71,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12POLKUH-POL,KXATPCHALLENGERMATCH-26JUL12POLKUH-POL,ATP_CHALL,ge76,81,84,18,83,18,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12POLVIN-POL,KXATPCHALLENGERMATCH-26JUL12POLVIN-POL,ATP_CHALL,26_50,41,43,58,42,42,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783842130,41,0.2
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12RAQKUM-RAQ,KXATPCHALLENGERMATCH-26JUL12RAQKUM-KUM,ATP_CHALL,26_50,54,46,45,45,45,NOT_CONVERTIBLE,PRICE_NEVER_PRINTED (below close-1 not offered after fill),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12SANSCH-SCH,KXATPCHALLENGERMATCH-26JUL12SANSCH-SCH,ATP_CHALL,51_75,63,61,36,60,36,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12SIAIVA-SIA,KXATPCHALLENGERMATCH-26JUL12SIAIVA-IVA,ATP_CHALL,le25,96,5,3,4,3,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12VANCHO-VAN,KXATPCHALLENGERMATCH-26JUL12VANCHO-VAN,ATP_CHALL,ge76,78,79,21,78,21,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12WESSEL-WES,KXATPCHALLENGERMATCH-26JUL12WESSEL-SEL,ATP_CHALL,26_50,51,50,48,49,48,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13CHOSUR-SUR,KXATPCHALLENGERMATCH-26JUL13CHOSUR-CHO,ATP_CHALL,ge76,22,80,77,79,77,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13FORRAF-RAF,KXATPCHALLENGERMATCH-26JUL13FORRAF-FOR,ATP_CHALL,le25,84,17,15,16,15,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13HOLWAT-HOL,KXATPCHALLENGERMATCH-26JUL13HOLWAT-WAT,ATP_CHALL,26_50,48,53,51,52,51,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13JONPET-PET,KXATPCHALLENGERMATCH-26JUL13JONPET-PET,ATP_CHALL,51_75,61,62,38,61,38,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13KENSHE-SHE,KXATPCHALLENGERMATCH-26JUL13KENSHE-KEN,ATP_CHALL,26_50,57,44,42,43,42,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13KUMLAG-KUM,KXATPCHALLENGERMATCH-26JUL13KUMLAG-LAG,ATP_CHALL,26_50,58,43,41,42,41,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13PALGON-PAL,KXATPCHALLENGERMATCH-26JUL13PALGON-GON,ATP_CHALL,26_50,64,38,35,37,35,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13PERTOB-PER,KXATPCHALLENGERMATCH-26JUL13PERTOB-TOB,ATP_CHALL,51_75,47,57,52,56,52,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13RADIVA-RAD,KXATPCHALLENGERMATCH-26JUL13RADIVA-IVA,ATP_CHALL,26_50,67,38,32,37,32,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13SHIHAR-SHI,KXATPCHALLENGERMATCH-26JUL13SHIHAR-HAR,ATP_CHALL,26_50,61,41,38,40,38,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13WINKIR-WIN,KXATPCHALLENGERMATCH-26JUL13WINKIR-KIR,ATP_CHALL,51_75,30,73,69,72,69,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13WOLFEN-WOL,KXATPCHALLENGERMATCH-26JUL13WOLFEN-WOL,ATP_CHALL,ge76,78,79,21,78,21,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13YEVCAM-YEV,KXATPCHALLENGERMATCH-26JUL13YEVCAM-CAM,ATP_CHALL,26_50,58,44,41,43,41,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL13ZHUDLI-DLI,KXATPCHALLENGERMATCH-26JUL13ZHUDLI-ZHU,ATP_CHALL,51_75,31,72,68,71,68,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14ALMGRA-GRA,KXATPCHALLENGERMATCH-26JUL14ALMGRA-ALM,ATP_CHALL,51_75,28,74,71,73,71,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14BICMIY-MIY,KXATPCHALLENGERMATCH-26JUL14BICMIY-BIC,ATP_CHALL,51_75,43,58,56,57,56,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14BLATOM-BLA,KXATPCHALLENGERMATCH-26JUL14BLATOM-TOM,ATP_CHALL,51_75,34,67,65,66,65,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14CASGHI-CAS,KXATPCHALLENGERMATCH-26JUL14CASGHI-GHI,ATP_CHALL,26_50,63,39,36,38,36,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14CASSCH-SCH,KXATPCHALLENGERMATCH-26JUL14CASSCH-CAS,ATP_CHALL,51_75,41,60,58,59,58,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14EREPAV-ERE,KXATPCHALLENGERMATCH-26JUL14EREPAV-PAV,ATP_CHALL,26_50,53,52,46,51,46,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14FORGOR-GOR,KXATPCHALLENGERMATCH-26JUL14FORGOR-GOR,ATP_CHALL,51_75,58,60,41,59,41,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14FUEPRI-FUE,KXATPCHALLENGERMATCH-26JUL14FUEPRI-FUE,ATP_CHALL,26_50,31,32,68,31,31,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784006531,31,0.6
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14GALFOR-FOR,KXATPCHALLENGERMATCH-26JUL14GALFOR-FOR,ATP_CHALL,26_50,28,29,71,28,28,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783999884,28,0.1
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14GENPET-GEN,KXATPCHALLENGERMATCH-26JUL14GENPET-PET,ATP_CHALL,51_75,37,64,62,63,62,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14GUIBON-GUI,KXATPCHALLENGERMATCH-26JUL14GUIBON-GUI,ATP_CHALL,26_50,47,48,52,47,47,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783999656,47,0.4
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14JONIVA-IVA,KXATPCHALLENGERMATCH-26JUL14JONIVA-JON,ATP_CHALL,51_75,27,75,72,74,72,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14LANYIB-LAN,KXATPCHALLENGERMATCH-26JUL14LANYIB-YIB,ATP_CHALL,le25,86,18,13,17,13,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14MARMAY-MAR,KXATPCHALLENGERMATCH-26JUL14MARMAY-MAR,ATP_CHALL,26_50,37,40,62,39,39,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784003400,37,2.3
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14MILCHA-MIL,KXATPCHALLENGERMATCH-26JUL14MILCHA-CHA,ATP_CHALL,51_75,48,62,51,61,51,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14OUAFIC-FIC,KXATPCHALLENGERMATCH-26JUL14OUAFIC-OUA,ATP_CHALL,51_75,32,72,67,71,67,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14SQUKUM-SQU,KXATPCHALLENGERMATCH-26JUL14SQUKUM-KUM,ATP_CHALL,51_75,36,67,63,66,63,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14SUNGEA-SUN,KXATPCHALLENGERMATCH-26JUL14SUNGEA-GEA,ATP_CHALL,le25,79,22,20,21,20,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14SURECH-SUR,KXATPCHALLENGERMATCH-26JUL14SURECH-ECH,ATP_CHALL,51_75,41,63,58,62,58,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL14VILRIB-RIB,KXATPCHALLENGERMATCH-26JUL14VILRIB-RIB,ATP_CHALL,51_75,60,61,39,60,39,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15HOLMAY-MAY,KXATPCHALLENGERMATCH-26JUL15HOLMAY-HOL,ATP_CHALL,26_50,65,37,34,36,34,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784124039,34,0.2
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15LAJKRU-LAJ,KXATPCHALLENGERMATCH-26JUL15LAJKRU-KRU,ATP_CHALL,51_75,33,70,66,69,66,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15SCHHOU-SCH,KXATPCHALLENGERMATCH-26JUL15SCHHOU-SCH,ATP_CHALL,51_75,60,61,39,60,39,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15SHIBOU-BOU,KXATPCHALLENGERMATCH-26JUL15SHIBOU-SHI,ATP_CHALL,26_50,55,46,44,45,44,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784125963,44,214.8
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15WOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL15WOLJOH-WOL,ATP_CHALL,26_50,61,40,38,39,38,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15WONSHE-SHE,KXATPCHALLENGERMATCH-26JUL15WONSHE-WON,ATP_CHALL,le25,83,18,16,17,16,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL15ZHOPER-PER,KXATPCHALLENGERMATCH-26JUL15ZHOPER-ZHO,ATP_CHALL,26_50,65,36,34,35,34,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16ADDGHI-ADD,KXATPCHALLENGERMATCH-26JUL16ADDGHI-GHI,ATP_CHALL,26_50,53,48,46,47,46,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16ALCANG-ALC,KXATPCHALLENGERMATCH-26JUL16ALCANG-ALC,ATP_CHALL,ge76,82,84,17,83,17,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16BICCAS-BIC,KXATPCHALLENGERMATCH-26JUL16BICCAS-CAS,ATP_CHALL,26_50,69,33,30,32,30,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16FORCUI-FOR,KXATPCHALLENGERMATCH-26JUL16FORCUI-CUI,ATP_CHALL,26_50,54,52,45,51,45,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16FUESEY-SEY,KXATPCHALLENGERMATCH-26JUL16FUESEY-FUE,ATP_CHALL,ge76,16,86,83,85,83,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16MCCTOM-TOM,KXATPCHALLENGERMATCH-26JUL16MCCTOM-MCC,ATP_CHALL,26_50,52,53,47,52,47,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL16MRVRON-RON,KXATPCHALLENGERMATCH-26JUL16MRVRON-MRV,ATP_CHALL,26_50,58,44,41,43,41,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17ADDIVA-IVA,KXATPCHALLENGERMATCH-26JUL17ADDIVA-IVA,ATP_CHALL,51_75,70,71,29,70,29,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17DRAGEA-GEA,KXATPCHALLENGERMATCH-26JUL17DRAGEA-GEA,ATP_CHALL,51_75,64,66,35,65,35,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17FORTOM-FOR,KXATPCHALLENGERMATCH-26JUL17FORTOM-TOM,ATP_CHALL,26_50,65,23,34,22,22,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784343228,20,227.8
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17GALCOP-GAL,KXATPCHALLENGERMATCH-26JUL17GALCOP-GAL,ATP_CHALL,26_50,43,45,56,44,44,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784263045,43,2.1
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17GENHOU-HOU,KXATPCHALLENGERMATCH-26JUL17GENHOU-GEN,ATP_CHALL,26_50,53,48,46,47,46,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17KUMBOO-BOO,KXATPCHALLENGERMATCH-26JUL17KUMBOO-KUM,ATP_CHALL,26_50,56,45,43,44,43,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17NAGBON-BON,KXATPCHALLENGERMATCH-26JUL17NAGBON-NAG,ATP_CHALL,26_50,55,46,44,45,44,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17NAPVIL-VIL,KXATPCHALLENGERMATCH-26JUL17NAPVIL-NAP,ATP_CHALL,26_50,60,43,39,42,39,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17PERSAN-SAN,KXATPCHALLENGERMATCH-26JUL17PERSAN-SAN,ATP_CHALL,51_75,59,60,40,59,40,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17SEKCAS-CAS,KXATPCHALLENGERMATCH-26JUL17SEKCAS-SEK,ATP_CHALL,51_75,39,63,60,62,60,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL17VUKGAL-VUK,KXATPCHALLENGERMATCH-26JUL17VUKGAL-GAL,ATP_CHALL,26_50,52,49,47,48,47,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL18ALCVIL-ALC,KXATPCHALLENGERMATCH-26JUL18ALCVIL-VIL,ATP_CHALL,51_75,28,74,71,73,71,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL18FUEBON-FUE,KXATPCHALLENGERMATCH-26JUL18FUEBON-BON,ATP_CHALL,26_50,72,30,27,29,27,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL18LAJYUN-YUN,KXATPCHALLENGERMATCH-26JUL18LAJYUN-LAJ,ATP_CHALL,51_75,35,93,64,92,64,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784429968,64,113.4
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL18VUKHOL-VUK,KXATPCHALLENGERMATCH-26JUL18VUKHOL-HOL,ATP_CHALL,26_50,53,53,46,52,46,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19ARNPOH-POH,KXATPCHALLENGERMATCH-26JUL19ARNPOH-ARN,ATP_CHALL,le25,97,4,2,3,2,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19AVECHA-CHA,KXATPCHALLENGERMATCH-26JUL19AVECHA-AVE,ATP_CHALL,51_75,41,62,58,61,58,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19BARLEO-BAR,KXATPCHALLENGERMATCH-26JUL19BARLEO-LEO,ATP_CHALL,26_50,55,47,44,46,44,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19BIAYOU-BIA,KXATPCHALLENGERMATCH-26JUL19BIAYOU-YOU,ATP_CHALL,le25,93,8,6,7,6,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19CASVAS-CAS,KXATPCHALLENGERMATCH-26JUL19CASVAS-VAS,ATP_CHALL,26_50,54,44,45,43,43,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1784450938,43,101.2
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19DEMMAG-DEM,KXATPCHALLENGERMATCH-26JUL19DEMMAG-MAG,ATP_CHALL,le25,96,5,3,4,3,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19DENGEN-GEN,KXATPCHALLENGERMATCH-26JUL19DENGEN-DEN,ATP_CHALL,26_50,60,41,39,40,39,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19KIRAGU-KIR,KXATPCHALLENGERMATCH-26JUL19KIRAGU-AGU,ATP_CHALL,26_50,56,46,43,45,43,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL19LANMAY-MAY,KXATPCHALLENGERMATCH-26JUL19LANMAY-LAN,ATP_CHALL,51_75,38,65,61,64,61,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
