event,category,bucket,held_leg,fill_cents,exit_band_abs,residency_bid_touch,print_backed
KXATPCHALLENGERMATCH-26JUL13KENSHE,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL13KENSHE-KEN,,68,False,False
KXATPCHALLENGERMATCH-26JUL13KUMLAG,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL13KUMLAG-LAG,,81,False,False
KXATPCHALLENGERMATCH-26JUL13OUALIN,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL13OUALIN-OUA,,89,False,False
KXATPCHALLENGERMATCH-26JUL13RADIVA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL13RADIVA-RAD,,41,False,False
KXATPCHALLENGERMATCH-26JUL13ROZISO,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL13ROZISO-ROZ,,98,False,False
KXATPCHALLENGERMATCH-26JUL13TABVIN,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13TABVIN-TAB,,68,False,False
KXATPCHALLENGERMATCH-26JUL13VUKBRO,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13VUKBRO-VUK,,76,False,False
KXATPCHALLENGERMATCH-26JUL13YIBMAR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL13YIBMAR-YIB,,93,True,True
KXATPCHALLENGERMATCH-26JUL14ALCTAB,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL14ALCTAB-ALC,,87,False,False
KXATPCHALLENGERMATCH-26JUL14BICMIY,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14BICMIY-MIY,,69,False,False
KXATPCHALLENGERMATCH-26JUL14BLATOM,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL14BLATOM-TOM,,41,False,False
KXATPCHALLENGERMATCH-26JUL14CASGHI,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14CASGHI-GHI,,91,False,False
KXATPCHALLENGERMATCH-26JUL14DELXIL,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14DELXIL-XIL,,63,False,False
KXATPCHALLENGERMATCH-26JUL14EREPAV,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14EREPAV-ERE,,101,False,False
KXATPCHALLENGERMATCH-26JUL14GANZIN,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14GANZIN-ZIN,,85,False,False
KXATPCHALLENGERMATCH-26JUL14IMAMCC,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14IMAMCC-MCC,,64,False,False
KXATPCHALLENGERMATCH-26JUL14IVAGIU,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14IVAGIU-GIU,,98,False,False
KXATPCHALLENGERMATCH-26JUL14JOHBER,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14JOHBER-BER,,95,False,False
KXATPCHALLENGERMATCH-26JUL14LAJSVA,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL14LAJSVA-SVA,,100,False,False
KXATPCHALLENGERMATCH-26JUL14LANYIB,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL14LANYIB-LAN,,63,False,False
KXATPCHALLENGERMATCH-26JUL14MARCAM,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14MARCAM-MAR,,101,False,False
KXATPCHALLENGERMATCH-26JUL14MILCHA,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14MILCHA-MIL,,84,False,False
KXATPCHALLENGERMATCH-26JUL14MRVCAN,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL14MRVCAN-CAN,,98,False,False
KXATPCHALLENGERMATCH-26JUL14NAGCRE,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14NAGCRE-CRE,,65,False,False
KXATPCHALLENGERMATCH-26JUL14NEDDAL,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14NEDDAL-DAL,,85,False,False
KXATPCHALLENGERMATCH-26JUL14OUAFIC,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL14OUAFIC-FIC,,79,False,False
KXATPCHALLENGERMATCH-26JUL14PERCRA,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14PERCRA-CRA,,95,True,True
KXATPCHALLENGERMATCH-26JUL14SUNGEA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL14SUNGEA-GEA,,97,False,False
KXATPCHALLENGERMATCH-26JUL14UCHGAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL14UCHGAL-GAL,,89,False,False
KXATPCHALLENGERMATCH-26JUL14URSPAL,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL14URSPAL-URS,,67,False,False
KXATPCHALLENGERMATCH-26JUL14VUKARS,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL14VUKARS-ARS,,62,False,False
KXATPCHALLENGERMATCH-26JUL15IVACRA,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL15IVACRA-CRA,,75,False,False
KXATPCHALLENGERMATCH-26JUL15NAGTOR,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL15NAGTOR-NAG,,77,False,False
KXATPCHALLENGERMATCH-26JUL15NAPBAR,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL15NAPBAR-NAP,,81,True,True
KXATPCHALLENGERMATCH-26JUL15RODINC,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL15RODINC-INC,,95,False,False
KXATPCHALLENGERMATCH-26JUL15SANERE,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL15SANERE-SAN,,98,False,False
KXATPCHALLENGERMATCH-26JUL15SHIBOU,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL15SHIBOU-BOU,,98,False,False
KXATPCHALLENGERMATCH-26JUL15VILMAR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL15VILMAR-VIL,,84,False,False
KXATPCHALLENGERMATCH-26JUL15WOLJOH,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL15WOLJOH-WOL,,63,True,True
KXATPCHALLENGERMATCH-26JUL16ADDGHI,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL16ADDGHI-GHI,,84,False,False
KXATPCHALLENGERMATCH-26JUL16ALCANG,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL16ALCANG-ALC,,86,False,False
KXATPCHALLENGERMATCH-26JUL16CAMBOO,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL16CAMBOO-BOO,,67,False,False
KXATPCHALLENGERMATCH-26JUL16DELDAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL16DELDAL-DAL,,49,False,False
KXATPCHALLENGERMATCH-26JUL16DENBAR,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL16DENBAR-BAR,,94,False,False
KXATPCHALLENGERMATCH-26JUL16DRAMIL,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL16DRAMIL-DRA,,99,False,False
KXATPCHALLENGERMATCH-26JUL16FORCUI,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL16FORCUI-FOR,,101,False,False
KXATPCHALLENGERMATCH-26JUL16GLISEK,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL16GLISEK-GLI,,91,False,False
KXATPCHALLENGERMATCH-26JUL16GRESAN,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL16GRESAN-GRE,,63,False,False
KXATPCHALLENGERMATCH-26JUL16MCCTOM,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL16MCCTOM-TOM,,102,False,False
KXATPCHALLENGERMATCH-26JUL16RICGEA,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL16RICGEA-GEA,,96,False,False
KXATPCHALLENGERMATCH-26JUL16SMIMAT,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL16SMIMAT-SMI,,96,False,False
KXATPCHALLENGERMATCH-26JUL16VISNIJ,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL16VISNIJ-NIJ,,77,False,False
KXATPCHALLENGERMATCH-26JUL17ADDIVA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17ADDIVA-IVA,,98,False,False
KXATPCHALLENGERMATCH-26JUL17DRAGEA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17DRAGEA-GEA,,65,False,True
KXATPCHALLENGERMATCH-26JUL17GALCOP,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL17GALCOP-GAL,,94,False,False
KXATPCHALLENGERMATCH-26JUL17HOLBOU,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17HOLBOU-BOU,,41,False,False
KXATPCHALLENGERMATCH-26JUL17KUMBOO,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17KUMBOO-BOO,,99,False,False
KXATPCHALLENGERMATCH-26JUL17NAGBON,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17NAGBON-BON,,99,False,False
KXATPCHALLENGERMATCH-26JUL17PERSAN,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL17PERSAN-SAN,,77,False,False
KXATPCHALLENGERMATCH-26JUL17RODCRA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17RODCRA-ROD,,94,False,False
KXATPCHALLENGERMATCH-26JUL17SEKCAS,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL17SEKCAS-CAS,,91,False,False
KXATPCHALLENGERMATCH-26JUL17VUKGAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL17VUKGAL-GAL,,84,False,False
KXATPCHALLENGERMATCH-26JUL18CASGEA,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL18CASGEA-GEA,,66,True,True
KXATPCHALLENGERMATCH-26JUL18FUEBON,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL18FUEBON-FUE,,46,False,False
KXATPCHALLENGERMATCH-26JUL18TOMJOH,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL18TOMJOH-JOH,,81,False,False
KXATPCHALLENGERMATCH-26JUL18VUKHOL,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL18VUKHOL-VUK,,100,False,False
KXATPCHALLENGERMATCH-26JUL19BARSTA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19BARSTA-STA,,91,False,False
KXATPCHALLENGERMATCH-26JUL19CALTEP,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19CALTEP-TEP,,42,False,False
KXATPCHALLENGERMATCH-26JUL19CASVAS,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19CASVAS-CAS,,49,False,False
KXATPCHALLENGERMATCH-26JUL19CLAKUZ,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19CLAKUZ-CLA,,94,False,False
KXATPCHALLENGERMATCH-26JUL19HURBIG,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19HURBIG-BIG,,67,False,False
KXATPCHALLENGERMATCH-26JUL19IMATRA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19IMATRA-IMA,,66,True,True
KXATPCHALLENGERMATCH-26JUL19JOHGEO,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19JOHGEO-JOH,,86,False,False
KXATPCHALLENGERMATCH-26JUL19KOZVIT,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL19KOZVIT-VIT,,38,False,False
KXATPCHALLENGERMATCH-26JUL19KUHPAS,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19KUHPAS-PAS,,90,True,True
KXATPCHALLENGERMATCH-26JUL19MALMOR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19MALMOR-MAL,,63,False,False
KXATPCHALLENGERMATCH-26JUL19MARCOL,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL19MARCOL-MAR,,94,True,True
KXATPCHALLENGERMATCH-26JUL19NIKVRB,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19NIKVRB-VRB,,98,False,False
KXATPCHALLENGERMATCH-26JUL19PALMUN,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19PALMUN-MUN,,98,False,False
KXATPCHALLENGERMATCH-26JUL19POLSCH,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL19POLSCH-SCH,,48,False,False
KXATPCHALLENGERMATCH-26JUL19RODIVA,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19RODIVA-ROD,,65,True,True
KXATPCHALLENGERMATCH-26JUL19SINMAT,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19SINMAT-MAT,,64,True,True
KXATPCHALLENGERMATCH-26JUL19SURPER,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL19SURPER-SUR,,95,True,True
KXATPCHALLENGERMATCH-26JUL19TOKMIY,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19TOKMIY-MIY,,79,False,False
KXATPCHALLENGERMATCH-26JUL19TOMLAJ,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19TOMLAJ-TOM,,43,False,False
KXATPCHALLENGERMATCH-26JUL19VALCAS,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL19VALCAS-VAL,,84,False,False
KXATPCHALLENGERMATCH-26JUL19VANGOR,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL19VANGOR-GOR,,99,False,False
KXATPCHALLENGERMATCH-26JUL19VUKGEA,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL19VUKGEA-GEA,,64,True,True
KXATPCHALLENGERMATCH-26JUL19WINSHE,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19WINSHE-WIN,,99,False,False
KXATPCHALLENGERMATCH-26JUL19YEVSTR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19YEVSTR-STR,,89,False,False
KXATPCHALLENGERMATCH-26JUL19ZAMPOL,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL19ZAMPOL-ZAM,,98,False,False
KXATPCHALLENGERMATCH-26JUL20ARSRIC,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20ARSRIC-RIC,,64,True,True
KXATPCHALLENGERMATCH-26JUL20BICWAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20BICWAL-WAL,,89,False,False
KXATPCHALLENGERMATCH-26JUL20CREMAT,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL20CREMAT-CRE,,67,False,False
KXATPCHALLENGERMATCH-26JUL20ECHHAR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20ECHHAR-ECH,,48,False,False
KXATPCHALLENGERMATCH-26JUL20FAURIN,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20FAURIN-FAU,,41,False,False
KXATPCHALLENGERMATCH-26JUL20GADGUI,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20GADGUI-GUI,,85,False,False
KXATPCHALLENGERMATCH-26JUL20GALLLA,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20GALLLA-LLA,,99,False,False
KXATPCHALLENGERMATCH-26JUL20GONTOB,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20GONTOB-TOB,,41,True,True
KXATPCHALLENGERMATCH-26JUL20GORYOU,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20GORYOU-GOR,,85,False,False
KXATPCHALLENGERMATCH-26JUL20HSUHAR,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL20HSUHAR-HAR,,68,False,False
KXATPCHALLENGERMATCH-26JUL20IMAKIN,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20IMAKIN-IMA,,99,False,False
KXATPCHALLENGERMATCH-26JUL20KOZPAS,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20KOZPAS-PAS,,47,True,True
KXATPCHALLENGERMATCH-26JUL20KYMCLA,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20KYMCLA-KYM,,89,False,False
KXATPCHALLENGERMATCH-26JUL20MAYMAG,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20MAYMAG-MAG,,40,False,False
KXATPCHALLENGERMATCH-26JUL20MILSHE,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20MILSHE-SHE,,100,False,False
KXATPCHALLENGERMATCH-26JUL20MONNES,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20MONNES-NES,,56,False,False
KXATPCHALLENGERMATCH-26JUL20NOGSHI,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20NOGSHI-NOG,,84,False,False
KXATPCHALLENGERMATCH-26JUL20OLIZIE,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20OLIZIE-OLI,,86,False,False
KXATPCHALLENGERMATCH-26JUL20ONCAJD,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20ONCAJD-AJD,,48,False,False
KXATPCHALLENGERMATCH-26JUL20PALLEO,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20PALLEO-LEO,,48,True,True
KXATPCHALLENGERMATCH-26JUL20PETTAB,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL20PETTAB-PET,,65,False,False
KXATPCHALLENGERMATCH-26JUL20POHWES,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20POHWES-POH,,15,False,False
KXATPCHALLENGERMATCH-26JUL20POLBRU,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20POLBRU-POL,,64,False,False
KXATPCHALLENGERMATCH-26JUL20STAMAT,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20STAMAT-MAT,,64,False,False
KXATPCHALLENGERMATCH-26JUL20SURKUZ,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL20SURKUZ-SUR,,79,False,False
KXATPCHALLENGERMATCH-26JUL20VANOUA,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL20VANOUA-VAN,,67,False,False
KXATPCHALLENGERMATCH-26JUL20WATILA,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL20WATILA-WAT,,63,True,True
KXATPCHALLENGERMATCH-26JUL20ZHUMAL,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL20ZHUMAL-ZHU,,94,False,False
KXATPCHALLENGERMATCH-26JUL20ZINZHA,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL20ZINZHA-ZIN,,86,False,False
KXATPMATCH-26JUL12ALTGAS,ATP_MAIN,>8h,KXATPMATCH-26JUL12ALTGAS-ALT,,77,False,False
KXATPMATCH-26JUL12BORKOU,ATP_MAIN,>8h,KXATPMATCH-26JUL12BORKOU-KOU,,72,False,False
KXATPMATCH-26JUL12BUDPEL,ATP_MAIN,>8h,KXATPMATCH-26JUL12BUDPEL-BUD,,90,False,False
KXATPMATCH-26JUL12CARSAN,ATP_MAIN,<=8h,KXATPMATCH-26JUL12CARSAN-CAR,,92,False,False
KXATPMATCH-26JUL12CHOBAS,ATP_MAIN,<=1h,KXATPMATCH-26JUL12CHOBAS-CHO,,99,False,False
KXATPMATCH-26JUL12CORDAN,ATP_MAIN,<=8h,KXATPMATCH-26JUL12CORDAN-COR,,59,False,False
KXATPMATCH-26JUL12DODCAR,ATP_MAIN,>8h,KXATPMATCH-26JUL12DODCAR-DOD,,62,False,False
KXATPMATCH-26JUL12DROBLO,ATP_MAIN,<=8h,KXATPMATCH-26JUL12DROBLO-BLO,,56,True,True
KXATPMATCH-26JUL12DZUROC,ATP_MAIN,<=8h,KXATPMATCH-26JUL12DZUROC-ROC,,89,False,False
KXATPMATCH-26JUL12FELKEC,ATP_MAIN,<=8h,KXATPMATCH-26JUL12FELKEC-KEC,,87,False,False
KXATPMATCH-26JUL12JACTRU,ATP_MAIN,>8h,KXATPMATCH-26JUL12JACTRU-TRU,,56,True,True
KXATPMATCH-26JUL12KOPPRI,ATP_MAIN,>8h,KXATPMATCH-26JUL12KOPPRI-PRI,,70,True,True
KXATPMATCH-26JUL12LAJVAN,ATP_MAIN,>8h,KXATPMATCH-26JUL12LAJVAN-VAN,,57,False,True
KXATPMATCH-26JUL12MARHAN,ATP_MAIN,<=1h,KXATPMATCH-26JUL12MARHAN-HAN,,76,True,True
KXATPMATCH-26JUL12MOLFAU,ATP_MAIN,<=2h,KXATPMATCH-26JUL12MOLFAU-MOL,,66,True,True
KXATPMATCH-26JUL12MOLROY,ATP_MAIN,<=8h,KXATPMATCH-26JUL12MOLROY-MOL,,77,False,False
KXATPMATCH-26JUL12OFNTIR,ATP_MAIN,>8h,KXATPMATCH-26JUL12OFNTIR-TIR,,58,True,True
KXATPMATCH-26JUL12PRASAI,ATP_MAIN,<=1h,KXATPMATCH-26JUL12PRASAI-PRA,,48,False,False
KXATPMATCH-26JUL12SESMER,ATP_MAIN,>8h,KXATPMATCH-26JUL12SESMER-MER,,98,False,False
KXATPMATCH-26JUL12SKASAC,ATP_MAIN,<=1h,KXATPMATCH-26JUL12SKASAC-SAC,,89,False,False
KXATPMATCH-26JUL12SLADAM,ATP_MAIN,<=8h,KXATPMATCH-26JUL12SLADAM-DAM,,96,False,False
KXATPMATCH-26JUL12SONSCH,ATP_MAIN,<=8h,KXATPMATCH-26JUL12SONSCH-SON,,95,False,False
KXATPMATCH-26JUL12STRMUN,ATP_MAIN,>8h,KXATPMATCH-26JUL12STRMUN-MUN,,73,True,True
KXATPMATCH-26JUL12TSIBUS,ATP_MAIN,>8h,KXATPMATCH-26JUL12TSIBUS-BUS,,90,False,False
KXATPMATCH-26JUL13COLSKA,ATP_MAIN,<=4h,KXATPMATCH-26JUL13COLSKA-SKA,,56,False,False
KXATPMATCH-26JUL13PASKRU,ATP_MAIN,<=1h,KXATPMATCH-26JUL13PASKRU-KRU,,73,False,False
KXATPMATCH-26JUL13TABROD,ATP_MAIN,<=1h,KXATPMATCH-26JUL13TABROD-ROD,,41,False,False
