code,cat,state,bell,margin,layer1,leg_reasons,layer2,first_primed_epoch,feasible_window_min,max_lawful_joint_margin
26JUL12DEGEE,ATP_CHALL,PARTIAL_FOR_REASON,exact,12,INPUT_GRAIN_ASLEEP+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""DE"": ""INPUT_GRAIN_ASLEEP"", ""GEE"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783905213,722.7,7
26JUL12DEVGON,ATP_CHALL,NEITHER_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""DEV"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""GON"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783876734,8.9,0
26JUL12DROPIR,ATP_CHALL,PARTIAL_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""DRO"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""PIR"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783829837,707.5,0
26JUL12ECHMUN,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,37,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""ECH"": ""STOOD_TOO_DEEP"", ""MUN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783885791,64.5,36
26JUL12FEAWAL,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,21,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""FEA"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""WAL"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783883346,8.6,14
26JUL12GANJAN,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,56,INPUT_GRAIN_ASLEEP+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""GAN"": ""INPUT_GRAIN_ASLEEP"", ""JAN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783847987,38.8,47
26JUL12GIESHE,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,5,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""GIE"": ""STOOD_TOO_DEEP"", ""SHE"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783838941,686.6,4
26JUL12GIUBAR,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,43,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""BAR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""GIU"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783880180,17.5,42
26JUL12HECISO,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,63,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""HEC"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""ISO"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783875197,38.7,62
26JUL12HERALM,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,46,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""ALM"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""HER"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783880360,65.6,32
26JUL12HOUJOR,ATP_CHALL,PARTIAL_FOR_REASON,exact,3,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""HOU"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""JOR"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783858888,1584.5,2
26JUL12KRALOR,ATP_CHALL,PARTIAL_FOR_REASON,exact,1,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""KRA"": ""STOOD_TOO_DEEP"", ""LOR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783851635,144.3,0
26JUL12KUZDE,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""DE"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""KUZ"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783856103,74.9,0
26JUL12MARFOR,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,4,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""FOR"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""MAR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783861890,,
26JUL12MIYKUZ,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,5,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""KUZ"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""MIY"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783848194,580.4,4
26JUL12OUAFER,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,6,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""FER"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""OUA"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783844761,524.6,5
26JUL12PALMAR,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,9,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""MAR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""PAL"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783836916,851.6,8
26JUL12POLKUH,ATP_CHALL,PARTIAL_FOR_REASON,exact,5,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""KUH"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""POL"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783831310,797.3,4
26JUL12PRIBAL,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""BAL"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""PRI"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783852357,60.6,0
26JUL12RAQKUM,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,43,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""KUM"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""RAQ"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783850440,33.8,23
26JUL12TOKROZ,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""ROZ"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""TOK"": ""STOOD_TOO_DEEP""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783884553,,
26JUL12TROHOR,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,9,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""HOR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""TRO"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783836495,661.1,8
26JUL12VANCHO,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,7,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""CHO"": ""STOOD_TOO_DEEP"", ""VAN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783835300,738.8,6
26JUL12WESPAA,ATP_CHALL,NEITHER_FOR_REASON,exact,2,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""PAA"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""WES"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783850810,284.9,1
26JUL12WINROB,ATP_CHALL,PARTIAL_FOR_REASON,exact,1,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""ROB"": ""STOOD_TOO_DEEP"", ""WIN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783831310,741.7,0
26JUL12YIBMAL,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,2,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""MAL"": ""STOOD_TOO_DEEP"", ""YIB"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783838793,864.3,1
26JUL12YOUDLI,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,5,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""DLI"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""YOU"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783848510,742.0,4
26JUL13AGABAR,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,4,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""AGA"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""BAR"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783948766,81.0,3
26JUL13ARSDAL,ATP_CHALL,NEITHER_FOR_REASON,exact,5,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""ARS"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""DAL"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783925558,229.9,4
26JUL13BINFUE,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""BIN"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""FUE"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783904556,411.5,0
26JUL13DONWES,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""DON"": ""STOOD_TOO_DEEP"", ""WES"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783936648,37.5,0
26JUL13FORHUA,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,13,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""FOR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""HUA"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783897705,1.2,12
26JUL13GIUALM,ATP_CHALL,NEITHER_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""ALM"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""GIU"": ""STOOD_TOO_DEEP""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783950846,,
26JUL13GREVAN,ATP_CHALL,NEITHER_FOR_REASON,exact,4,INPUT_GRAIN_ASLEEP,"{""GRE"": ""INPUT_GRAIN_ASLEEP"", ""VAN"": ""INPUT_GRAIN_ASLEEP""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783944972,,
26JUL13HOLWAT,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,3,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)+LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""HOL"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)"", ""WAT"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783928747,463.4,2
26JUL13KRASAL,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,7,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)+LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""KRA"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)"", ""SAL"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783913067,376.4,6
26JUL13MUNLEO,ATP_CHALL,NEITHER_FOR_REASON,exact,2,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""LEO"": ""STOOD_TOO_DEEP"", ""MUN"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783952231,,
26JUL13NOGBRO,ATP_CHALL,PARTIAL_FOR_REASON,exact,2,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""BRO"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""NOG"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783932292,589.1,1
26JUL13PALGON,ATP_CHALL,NEITHER_FOR_REASON,exact,1,STOOD_TOO_DEEP,"{""GON"": ""STOOD_TOO_DEEP"", ""PAL"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783928812,264.0,0
26JUL13PERTOB,ATP_CHALL,NEITHER_FOR_REASON,exact,4,INPUT_GRAIN_ASLEEP+LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""PER"": ""INPUT_GRAIN_ASLEEP"", ""TOB"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783961587,,
26JUL13PRICRI,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,3,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""CRI"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""PRI"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783916638,226.8,1
26JUL13RADIVA,ATP_CHALL,PARTIAL_FOR_REASON,exact,2,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""IVA"": ""STOOD_TOO_DEEP"", ""RAD"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783962804,55.1,1
26JUL13RODALK,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,2,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""ALK"": ""STOOD_TOO_DEEP"", ""ROD"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783946235,420.8,1
26JUL13SHIHAR,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,3,INPUT_GRAIN_ASLEEP+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""HAR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""SHI"": ""INPUT_GRAIN_ASLEEP""}",PLAN_WAS_FEASIBLE,1783959308,52.2,1
26JUL13VILGAN,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""GAN"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""VIL"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783907960,136.8,0
26JUL13VUKBRO,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""BRO"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""VUK"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783940257,363.4,0
26JUL13WONTUN,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,1,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""TUN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""WON"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783951746,151.7,0
26JUL13YEVCAM,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,4,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""CAM"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""YEV"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783897619,388.4,3
26JUL13YIBMAR,ATP_CHALL,NEITHER_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""MAR"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""YIB"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783958375,19.3,0
26JUL14ADDLEO,ATP_CHALL,NEITHER_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""ADD"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""LEO"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1784003698,633.4,0
